Geo Point;Geo Shape;OBJECTID;ID_REF_ZDL;ID_REF_ZDE;GARES_ID;NOM_GARE;NOMLONG;NOM_IV;NUM_MOD;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;IDREFLIGA;IDREFLIGC;LIGNE;COD_LIGF;LIGNE_CODE;INDICE_LIG;RESEAU;RES_COM;COD_RESF;RES_STIF;EXPLOITANT;NUM_PSR;IDF;PRINCIPAL;X;Y
48.8395165854, 2.30110751488;"{""type"": ""Point"", ""coordinates"": [2.301107514879988, 48.83951658539453, 0.0]}";365.0;44995.0;22047.0;877.0;Vaugirard (Adolphe Chériou);VAUGIRARD (ADOLPHE CHERIOU);Vaugirard;2322.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112039;12;METRO;M12;3.0;110.0;RATP;0.0;1.0;0.0;648703.499;6860167.725
48.9231037797, 2.28627957753;"{""type"": ""Point"", ""coordinates"": [2.286279577529783, 48.92310377966602, 0.0]}";368.0;43693.0;22232.0;1007.0;Les Agnettes-Asnières-Gennevilliers;LES AGNETTES-ASNIERES-GENNEVILLIERS;Les Agnettes;4130.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01546;;13;5.0;13-113077;13;METRO;M13;3.0;110.0;RATP;0.0;1.0;0.0;647699.216;6869471.769
48.8636109376, 2.28758016253;"{""type"": ""Point"", ""coordinates"": [2.287580162529652, 48.86361093764567, 0.0]}";372.0;44962.0;22164.0;862.0;Trocadéro;TROCADERO;Trocadéro;2147.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-109043;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;647734.833;6862855.649
48.8643437787, 2.33012987711;"{""type"": ""Point"", ""coordinates"": [2.330129877112861, 48.86434377873391, 0.0]}";374.0;45664.0;22075.0;864.0;Tuileries;TUILERIES;Tuileries;2011.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01534;;1;1.0;1-101059;1;METRO;M1;3.0;110.0;RATP;0.0;1.0;0.0;650857.016;6862909.812
48.8697985565, 2.28533509469;"{""type"": ""Point"", ""coordinates"": [2.285335094686169, 48.86979855646068, 0.0]}";375.0;45020.0;22109.0;892.0;Victor Hugo;VICTOR HUGO;Victor Hugo;2048.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102079;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;647576.36;6863545.148
48.8701642009, 2.35049797186;"{""type"": ""Point"", ""coordinates"": [2.350497971863092, 48.87016420090056, 0.0]}";1.0;45100.0;22198.0;90.0;Bonne Nouvelle;BONNE NOUVELLE;Bonne Nouvelle;2211.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108047;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;652356.549;6863544.515
48.8701642009, 2.35049797186;"{""type"": ""Point"", ""coordinates"": [2.350497971863092, 48.87016420090056, 0.0]}";2.0;45100.0;21933.0;91.0;Bonne Nouvelle;BONNE NOUVELLE;Bonne Nouvelle;2240.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-108047;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;652356.549;6863544.515
48.8794817719, 2.38911580738;"{""type"": ""Point"", ""coordinates"": [2.389115807376888, 48.87948177191293, 0.0]}";3.0;42369.0;24686.0;93.0;Botzaris;BOTZARIS;Botzaris;2362.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01550;;7b;14.0;7b-117033;7b;METRO;M7b;3.0;110.0;RATP;0.0;1.0;0.0;655197.272;6864557.96
48.8523154274, 2.38937812792;"{""type"": ""Point"", ""coordinates"": [2.389378127918613, 48.85231542739917, 0.0]}";5.0;42374.0;22442.0;98.0;Rue des Boulets;RUE DES BOULETS;Rue des Boulets;2233.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109079;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;655193.15;6861537.115
48.8686959778, 2.34072072367;"{""type"": ""Point"", ""coordinates"": [2.340720723674097, 48.868695977842876, 0.0]}";8.0;45101.0;22033.0;104.0;Bourse;BOURSE;Bourse;2063.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103055;3;METRO;M3;3.0;110.0;RATP;0.0;1.0;0.0;651638.004;6863387.203
