Geo Point;Geo Shape;OBJECTID;ID_REF_ZDL;ID_REF_ZDE;GARES_ID;NOM_GARE;NOMLONG;NOM_IV;NUM_MOD;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;IDREFLIGA;IDREFLIGC;LIGNE;COD_LIGF;LIGNE_CODE;INDICE_LIG;RESEAU;RES_COM;COD_RESF;RES_STIF;EXPLOITANT;NUM_PSR;IDF;PRINCIPAL;X;Y
48.8423274377, 2.32098483563;"{""type"": ""Point"", ""coordinates"": [2.320984835629298, 48.84232743773422, 0.0]}";146.0;43238.0;22157.0;563.0;Montparnasse-Bienvenüe;MONTPARNASSE;Montparnasse Bienvenüe;2334.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01546;;13;5.0;13-285;13;METRO;M13;3.0;110.0;RATP;0.0;1.0;1.0;650165.083;6860467.533
48.8461236669, 2.27771173983;"{""type"": ""Point"", ""coordinates"": [2.277711739827638, 48.846123666874924, 0.0]}";155.0;45346.0;21972.0;377.0;Javel-André Citroën;JAVEL;Javel-André Citroën;2271.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01543;;10;2.0;10-315;10;METRO;M10;3.0;110.0;RATP;0.0;1.0;0.0;646993.091;6860917.813
48.8153075312, 2.29707779833;"{""type"": ""Point"", ""coordinates"": [2.297077798334658, 48.81530753120822, 0.0]}";167.0;44069.0;22236.0;505.0;Malakoff-Rue Étienne Dolet;MALAKOFF-RUE ÉTIENNE DOLET;Malakoff-Rue Étienne Dolet;2328.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114035;13;METRO;M13;3.0;110.0;RATP;899947.0;1.0;0.0;648383.776;6857478.602
48.8337088491, 2.24384059238;"{""type"": ""Point"", ""coordinates"": [2.243840592379737, 48.83370884910397, 0.0]}";172.0;47021.0;21940.0;513.0;Marcel Sembat;MARCEL SEMBAT;Marcel Sembat;2260.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109025;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;644494.228;6859560.702
48.8668000351, 2.38338325046;"{""type"": ""Point"", ""coordinates"": [2.383383250455203, 48.86680003509802, 0.0]}";175.0;44133.0;22116.0;533.0;Ménilmontant;MENILMONTANT;Ménilmontant;2030.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102043;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;654765.838;6863151.104
48.8478956502, 2.26408203075;"{""type"": ""Point"", ""coordinates"": [2.264082030746222, 48.84789565020842, 0.0]}";177.0;44138.0;21922.0;543.0;Michel Ange-Auteuil;MICHEL-ANGE-AUTEUIL;Michel-Ange-Auteuil;2256.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-110031;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;645994.706;6861124.074
48.8493505536, 2.29830140173;"{""type"": ""Point"", ""coordinates"": [2.298301401728378, 48.84935055362092, 0.0]}";190.0;43566.0;22183.0;422.0;La Motte Picquet-Grenelle;LA MOTTE-PICQUET-GRENELLE;La Motte Picquet Grenelle;2220.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-106071;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;648507.262;6861262.985
48.8580460563, 2.27415463109;"{""type"": ""Point"", ""coordinates"": [2.27415463108692, 48.85804605629201, 0.0]}";191.0;43567.0;21929.0;423.0;La Muette;LA MUETTE;La Muette;2253.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109039;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;646744.237;6862245.856
48.8852161821, 2.37966307748;"{""type"": ""Point"", ""coordinates"": [2.379663077480466, 48.8852161820946, 0.0]}";194.0;45581.0;22012.0;426.0;Laumière;LAUMIERE;Laumière;2116.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105051;5;METRO;M5;3.0;110.0;RATP;0.0;1.0;0.0;654509.024;6865200.998
48.8748743434, 2.34019988439;"{""type"": ""Point"", ""coordinates"": [2.34019988438517, 48.87487434337737, 0.0]}";196.0;43656.0;22382.0;443.0;Le Peletier;LE PELETIER;Le Peletier;2175.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107051;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;651605.539;6864074.511
48.8026376907, 2.44692748424;"{""type"": ""Point"", ""coordinates"": [2.446927484242136, 48.802637690718086, 0.0]}";218.0;44067.0;22216.0;499.0;Maisons-Alfort-Les Juilliottes;MAISONS-ALFORT-LES JUILLIOTTES;Maisons-Alfort-Les Juilliottes;2192.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108085;8;METRO;M8;3.0;110.0;RATP;899946.0;1.0;0.0;659377.305;6855982.36
48.8628296728, 2.3368783976;"{""type"": ""Point"", ""coordinates"": [2.336878397596706, 48.862829672789964, 0.0]}";223.0;44236.0;22376.0;619.0;Palais Royal-Musée du Louvre;PALAIS ROYAL-MUSEE DU LOUVRE;Palais Royal-Musée du Louvre;2171.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-101057;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;651350.675;6862737.277
48.842871275, 2.31244751307;"{""type"": ""Point"", ""coordinates"": [2.312447513065986, 48.84287127500633, 0.0]}";226.0;44273.0;22039.0;628.0;Pasteur;PASTEUR;Pasteur;2320.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112043;12;METRO;M12;3.0;110.0;RATP;0.0;1.0;0.0;649539.046;6860533.424
48.84267682, 2.31281277347;"{""type"": ""Point"", ""coordinates"": [2.312812773474409, 48.84267681997589, 0.0]}";227.0;44273.0;22166.0;629.0;Pasteur;PASTEUR;Pasteur;2140.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-112043;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;649565.665;6860511.569
48.8489446451, 2.39587943519;"{""type"": ""Point"", ""coordinates"": [2.395879435185689, 48.848944645063824, 0.0]}";236.0;44191.0;21919.0;586.0;Nation;NATION;Nation;2232.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-339;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;655667.333;6861158.644
48.830972673, 2.35558027408;"{""type"": ""Point"", ""coordinates"": [2.35558027407791, 48.83097267298836, 0.0]}";248.0;44371.0;22006.0;652.0;Place d'Italie;PLACE D'ITALIE;Place d'Italie;2101.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M5;0;0;0;A01538;;5;11.0;5-105081;5;METRO;M5;3.0;110.0;RATP;0.0;1.0;0.0;652693.782;6859183.727
48.830927241, 2.3561219388;"{""type"": ""Point"", ""coordinates"": [2.356121938797104, 48.8309272410005, 0.0]}";249.0;44371.0;22168.0;653.0;Place d'Italie;PLACE D'ITALIE;Place d'Italie;2132.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-105081;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;652733.503;6859178.351
48.8521672611, 2.33964633593;"{""type"": ""Point"", ""coordinates"": [2.339646335932881, 48.852167261116506, 0.0]}";257.0;58716.0;21978.0;604.0;Odéon;ODEON;Odéon;2280.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01543;;10;2.0;10-104059;10;METRO;M10;3.0;110.0;RATP;0.0;1.0;0.0;651543.823;6861550.009
48.8706417323, 2.33213859959;"{""type"": ""Point"", ""coordinates"": [2.332138599587433, 48.87064173234302, 0.0]}";261.0;42237.0;22195.0;608.0;Opéra;OPERA;Opéra;2214.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108041;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;651010.3;6863608.847
48.8296748438, 2.23079959132;"{""type"": ""Point"", ""coordinates"": [2.230799591317221, 48.82967484383875, 0.0]}";266.0;44481.0;21938.0;671.0;Pont de Sèvres;PONT DE SEVRES;Pont de Sèvres;2262.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M9;0;0;0;A01542;;9;16.0;9-109021;9;METRO;M9;3.0;110.0;RATP;899953.0;1.0;0.0;643532.616;6859121.418
48.8331629295, 2.40144805422;"{""type"": ""Point"", ""coordinates"": [2.401448054218978, 48.83316292950388, 0.0]}";273.0;44512.0;22208.0;686.0;Porte de Charenton;PORTE DE CHARENTON;Porte de Charenton;2197.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108075;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;656062.67;6859400.759
48.819876221, 2.36453195175;"{""type"": ""Point"", ""coordinates"": [2.364531951747296, 48.81987622104988, 0.0]}";274.0;44513.0;22373.0;687.0;Porte de Choisy;PORTE DE CHOISY;Porte de Choisy;2154.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107085;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;653340.972;6857944.605
48.8974022229, 2.34484774875;"{""type"": ""Point"", ""coordinates"": [2.344847748752398, 48.89740222289809, 0.0]}";276.0;44515.0;22141.0;690.0;Porte de Clignancourt;PORTE DE CLIGNANCOURT;Porte de Clignancourt;2075.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M4;0;0;0;A01537;;4;10.0;4-104029;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;0.0;651967.223;6866576.641
48.8552362528, 2.36095648866;"{""type"": ""Point"", ""coordinates"": [2.360956488661, 48.855236252795095, 0.0]}";280.0;44881.0;22074.0;777.0;Saint-Paul (le Marais);SAINT-PAUL (LE MARAIS);Saint-Paul;2016.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01534;;1;1.0;1-101049;1;METRO;M1;3.0;110.0;RATP;0.0;1.0;0.0;653110.27;6861878.387
48.8724223837, 2.31003834462;"{""type"": ""Point"", ""coordinates"": [2.310038344619937, 48.87242238365101, 0.0]}";281.0;44884.0;21912.0;778.0;Saint-Philippe du Roule;SAINT-PHILIPPE-DU-ROULE;Saint-Philippe du Roule;2247.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109051;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;649390.948;6863820.78
48.846878238, 2.32679278504;"{""type"": ""Point"", ""coordinates"": [2.326792785039299, 48.84687823795213, 0.0]}";282.0;44885.0;22138.0;779.0;Saint-Placide;SAINT-PLACIDE;Saint-Placide;2093.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104065;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;0.0;650595.649;6860969.886
48.8844208864, 2.36589381994;"{""type"": ""Point"", ""coordinates"": [2.365893819935268, 48.88442088636331, 0.0]}";293.0;44901.0;22001.0;809.0;Stalingrad;STALINGRAD;Stalingrad;2114.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105055;5;METRO;M5;3.0;110.0;RATP;0.0;1.0;0.0;653498.599;6865120.587
48.8379612135, 2.25712222985;"{""type"": ""Point"", ""coordinates"": [2.257122229845438, 48.83796121353705, 0.0]}";303.0;44524.0;21914.0;695.0;Porte de Saint-Cloud;PORTE DE SAINT-CLOUD;Porte de Saint-Cloud;2259.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109027;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;645473.584;6860024.26
48.8659067396, 2.33418954197;"{""type"": ""Point"", ""coordinates"": [2.33418954196825, 48.86590673959416, 0.0]}";315.0;44579.0;21960.0;714.0;Pyramides;PYRAMIDES;Pyramides;2371.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01547;;14;6.0;14-107057;14;METRO;M14;3.0;110.0;RATP;0.0;1.0;0.0;651156.3;6863081.082
48.8659809205, 2.33433072438;"{""type"": ""Point"", ""coordinates"": [2.334330724377939, 48.865980920486436, 0.0]}";316.0;44579.0;22375.0;715.0;Pyramides;PYRAMIDES;Pyramides;2172.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107057;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;651166.726;6863089.243
48.8612049903, 2.35349574013;"{""type"": ""Point"", ""coordinates"": [2.353495740128163, 48.861204990323024, 0.0]}";321.0;44593.0;21992.0;721.0;Rambuteau;RAMBUTEAU;Rambuteau;2288.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01544;;11;3.0;11-111053;11;METRO;M11;3.0;110.0;RATP;0.0;1.0;0.0;652568.285;6862546.516
48.8554850504, 2.27010913894;"{""type"": ""Point"", ""coordinates"": [2.270109138941893, 48.855485050404425, 0.0]}";322.0;44594.0;21915.0;722.0;Ranelagh;RANELAGH;Ranelagh;2254.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109037;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;646444.792;6861963.833
48.8670267876, 2.36424799375;"{""type"": ""Point"", ""coordinates"": [2.364247993752544, 48.867026787567816, 0.0]}";329.0;44617.0;21902.0;730.0;République;REPUBLIQUE;République;2068.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01536;;3;8.0;3-109069;3;METRO;M3;3.0;110.0;RATP;0.0;1.0;0.0;653362.335;6863187.449
48.8717866021, 2.33903054672;"{""type"": ""Point"", ""coordinates"": [2.339030546723062, 48.87178660205624, 0.0]}";336.0;44642.0;22196.0;737.0;Richelieu-Drouot;RICHELIEU-DROUOT;Richelieu-Drouot;2213.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108043;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;651516.899;6863731.894
48.8557264286, 2.42298321615;"{""type"": ""Point"", ""coordinates"": [2.422983216145875, 48.855726428633155, 0.0]}";339.0;44650.0;21942.0;741.0;Robespierre;ROBESPIERRE;Robespierre;2228.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109089;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;657661.786;6861897.845
48.8714977394, 2.34315477308;"{""type"": ""Point"", ""coordinates"": [2.343154773075233, 48.87149773935003, 0.0]}";344.0;43310.0;21909.0;755.0;Grands Boulevards (Rue Montmartre);GRANDS BOULEVARDS (RUE MONTMARTRE);Grands Boulevards;2241.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-108045;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;651819.143;6863697.25
48.8745583847, 2.3213619281;"{""type"": ""Point"", ""coordinates"": [2.321361928104079, 48.87455838471093, 0.0]}";346.0;44857.0;21911.0;759.0;Saint-Augustin;SAINT-AUGUSTIN;Saint-Augustin;2245.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109055;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;650223.56;6864051.089
48.9299358897, 2.35603579417;"{""type"": ""Point"", ""coordinates"": [2.356035794172797, 48.92993588967869, 0.0]}";348.0;44861.0;22241.0;762.0;Saint-Denis-Porte de Paris;SAINT-DENIS-PORTE DE PARIS;Saint-Denis-Porte de Paris;2354.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01546;C01383;13;5.0;13-114079;13;METRO;M13;3.0;110.0;RATP;899955.0;1.0;0.0;652816.965;6870187.543
48.9458456578, 2.36454176349;"{""type"": ""Point"", ""coordinates"": [2.364541763486513, 48.945845657765744, 0.0]}";349.0;44860.0;22242.0;763.0;Saint-Denis-Université;SAINT-DENIS-UNIVERSITE;Saint-Denis-Université;2368.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M13;0;0;0;A01546;;13;5.0;13-114082;13;METRO;M13;3.0;110.0;RATP;899959.0;1.0;0.0;653454.418;6871951.655
48.8721014421, 2.40451494238;"{""type"": ""Point"", ""coordinates"": [2.404514942379104, 48.872101442131545, 0.0]}";350.0;44864.0;21946.0;764.0;Saint-Fargeau;SAINT-FARGEAU;Saint-Fargeau;2357.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01549;;3b;9.0;3b-116033;3b;METRO;M3b;3.0;110.0;RATP;0.0;1.0;0.0;656320.446;6863728.686
48.8531679849, 2.34328597892;"{""type"": ""Point"", ""coordinates"": [2.343285978923924, 48.853167984890604, 0.0]}";358.0;44877.0;22137.0;776.0;Saint-Michel;SAINT-MICHEL;Saint-Michel;2089.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104057;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;0.0;651811.816;6861659.053
48.875764594, 2.32425603265;"{""type"": ""Point"", ""coordinates"": [2.324256032653556, 48.87576459402025, 0.0]}";362.0;58566.0;21962.0;1000.0;Saint-Lazare;SAINT-LAZARE;Saint-Lazare;2369.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M14;0;0;0;A01547;;14;6.0;14-329;14;METRO;M14;3.0;110.0;RATP;0.0;1.0;1.0;650436.978;6864183.391
48.8568713792, 2.31505663732;"{""type"": ""Point"", ""coordinates"": [2.315056637317088, 48.85687137924918, 0.0]}";364.0;45131.0;22226.0;873.0;Varenne;VARENNE;Varenne;2337.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114053;13;METRO;M13;3.0;110.0;RATP;0.0;1.0;0.0;649744.034;6862088.433
48.8264260109, 2.35724565076;"{""type"": ""Point"", ""coordinates"": [2.357245650758686, 48.826426010875664, 0.0]}";370.0;58740.0;22370.0;855.0;Tolbiac;TOLBIAC;Tolbiac;2161.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107079;7;METRO;M7;3.0;110.0;RATP;0.0;1.0;0.0;652811.918;6858677.194
48.8763179623, 2.3325430273;"{""type"": ""Point"", ""coordinates"": [2.332543027297523, 48.87631796226447, 0.0]}";371.0;45170.0;22046.0;861.0;Trinité d'Estienne d'Orves;TRINITE-D'ESTIENNE D'ORVES;Trinité d'Estienne d'Orves;2308.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112067;12;METRO;M12;3.0;110.0;RATP;0.0;1.0;0.0;651045.3;6864239.752
48.7875627921, 2.36780410698;"{""type"": ""Point"", ""coordinates"": [2.367804106975457, 48.78756279205349, 0.0]}";377.0;45049.0;22400.0;897.0;Villejuif-Louis Aragon;VILLEJUIF-LOUIS ARAGON;Villejuif-Louis Aragon;2156.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M7;0;0;0;A01540;;7;13.0;7-107005;7;METRO;M7;3.0;110.0;RATP;899957.0;1.0;0.0;653552.458;6854349.869
48.8186764099, 2.3197403133;"{""type"": ""Point"", ""coordinates"": [2.319740313298555, 48.818676409912605, 0.0]}";383.0;45904.0;26602.0;1134.0;Mairie de Montrouge;MAIRIE DE MONTROUGE;Mairie de Montrouge;0.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M4;0;0;0;A01537;;4;0.0;4-104080;4;METRO;M4;3.0;110.0;RATP;0.0;1.0;0.0;650051.091;6857838.602
48.8420053473, 2.23888732579;"{""type"": ""Point"", ""coordinates"": [2.238887325790711, 48.84200534728089, 0.0]}";6.0;42380.0;21988.0;99.0;Boulogne-Jean Jaurès;BOULOGNE-JEAN JAURES;Boulogne-Jean Jaurès;2264.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01543;;10;2.0;10-110025;10;METRO;M10;3.0;110.0;RATP;0.0;1.0;0.0;644139.537;6860486.666
48.8669831104, 2.29005883493;"{""type"": ""Point"", ""coordinates"": [2.290058834931356, 48.86698311035682, 0.0]}";17.0;42359.0;22180.0;84.0;Boissière;BOISSIERE;Boissière;2148.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106081;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;647920.042;6863228.968
48.8838039424, 2.35061300069;"{""type"": ""Point"", ""coordinates"": [2.350613000688897, 48.88380394240852, 0.0]}";32.0;42280.0;22127.0;49.0;Barbès-Rochechouart;BARBES-ROCHECHOUART;Barbès-Rochechouart;2037.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01535;;2;7.0;2-104037;2;METRO;M2;3.0;110.0;RATP;0.0;1.0;0.0;652377.46;6865061.093
48.8718487938, 2.37659368274;"{""type"": ""Point"", ""coordinates"": [2.37659368274432, 48.871848793754864, 0.0]}";38.0;42311.0;21998.0;60.0;Belleville;BELLEVILLE;Belleville;2292.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01544;;11;3.0;11-111045;11;METRO;M11;3.0;110.0;RATP;0.0;1.0;0.0;654272.207;6863716.401
48.8403887481, 2.37991127145;"{""type"": ""Point"", ""coordinates"": [2.379911271454398, 48.84038874809586, 0.0]}";42.0;45232.0;22178.0;67.0;Bercy;BERCY;Bercy;2128.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106041;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;654488.081;6860216.394
48.8333385593, 2.38663240207;"{""type"": ""Point"", ""coordinates"": [2.386632402066985, 48.83333855925167, 0.0]}";46.0;45234.0;21956.0;221.0;Cour Saint-Émilion;COUR SAINT-EMILION;Cour Saint-Émilion;2375.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01547;;14;6.0;14-114001;14;METRO;M14;3.0;110.0;RATP;0.0;1.0;0.0;654975.285;6859428.633
48.7967407666, 2.44943317569;"{""type"": ""Point"", ""coordinates"": [2.449433175686986, 48.796740766583056, 0.0]}";47.0;45712.0;22211.0;223.0;Créteil-L'Échat (Hôpital Mondor);CRETEIL-L'ECHAT (HOPITAL MONDOR);Créteil-L'Échat;2191.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108087;8;METRO;M8;3.0;110.0;RATP;899929.0;1.0;0.0;659556.771;6855325.415
48.779905317, 2.45936839626;"{""type"": ""Point"", ""coordinates"": [2.459368396259053, 48.77990531695967, 0.0]}";48.0;42778.0;22213.0;224.0;Créteil-Préfecture (Hôtel de Ville);CRETEIL-PREFECTURE (HOTEL DE VILLE);Créteil-Préfecture;2189.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108091;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;660273.759;6853448.511
48.8819319987, 2.39344545649;"{""type"": ""Point"", ""coordinates"": [2.393445456490355, 48.881931998728206, 0.0]}";53.0;42822.0;24687.0;232.0;Danube;DANUBE;Danube;2361.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01550;;7b;14.0;7b-117031;7b;METRO;M7b;3.0;110.0;RATP;0.0;1.0;0.0;655516.898;6864827.963
48.8394454284, 2.39618288645;"{""type"": ""Point"", ""coordinates"": [2.396182886452633, 48.839445428379506, 0.0]}";55.0;45229.0;22184.0;234.0;Daumesnil;DAUMESNIL;Daumesnil;2200.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-106037;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;655681.524;6860102.251
48.814803007, 2.42237614285;"{""type"": ""Point"", ""coordinates"": [2.422376142845623, 48.814803007000464, 0.0]}";63.0;42889.0;22214.0;12.0;École Vétérinaire de Maisons-Alfort;ECOLE VETERINAIRE DE MAISONS-ALFORT;École Vétérinaire de Maisons-Alfort;2194.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108081;8;METRO;M8;3.0;110.0;RATP;0.0;1.0;0.0;657583.957;6857347.9
48.89325759, 2.41331313951;"{""type"": ""Point"", ""coordinates"": [2.41331313951059, 48.89325758997389, 0.0]}";66.0;42949.0;22016.0;253.0;Église de Pantin;EGLISE DE PANTIN;Église de Pantin;2120.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105043;5;METRO;M5;3.0;110.0;RATP;0.0;1.0;0.0;656983.271;6866076.304
48.8747486507, 2.29556025621;"{""type"": ""Point"", ""coordinates"": [2.295560256213147, 48.874748650679905, 0.0]}";82.0;58759.0;22095.0;154.0;Charles de Gaulle-Étoile;CHARLES DE GAULLE ETOILE;Charles de Gaulle Etoile;2150.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;M6;0;0;0;A01539;C01376;6;12.0;6-337;6;METRO;M6;3.0;110.0;RATP;0.0;1.0;0.0;648331.308;6864088.819
48.8545804991, 2.38556348082;"{""type"": ""Point"", ""coordinates"": [2.385563480822886, 48.85458049908102, 0.0]}";84.0;42560.0;21934.0;156.0;Charonne;CHARONNE;Charonne;2234.0;Metro;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109077;9;METRO;M9;3.0;110.0;RATP;0.0;1.0;0.0;654915.201;6861791.142
